ID_x,module-id,comment,exposure_time,current,voltage,iso,aperture,camera,filename,identifier,Crack,Contact,Corrosion,Interconnect,sinton_iv_id,Sample_ID,Batch_ID,Measurement_Date-Time,date_y,time_y,load_voltage,reference_constant,voltage_temperature_coefficient,temperature-offset,setpoint-initial,step-size-one,step-size-switch,step-size-two,setpoint-isc-voltage,pulse-wait-time,pulse-wait-time-voc,pulse-length,pulse-wait-time-voc-length,ID_y,User_ID,txt_filename,mfr_filename,Isc_(A),Voc_(V),Imp_(A),Vmp_(V),Pmp_(W),FF_(percent),Efficiency_(percent),Rsh_(ohm),Rs_(ohm),Jsc_(A/cm2),Voc_(V/cell),Jmp_(A/cm2),Vmp_(V/cell),Pmp_(W/cm2),Cell_Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),ILoad_(A),VLoad_(V),FFLoad_(percent),PLoad_(W),EffLoad_(percent),RsLoad_(ohm),JLoad_(A/cm2),VLoad_(V/cell),PLoad_(W/cm2),Cell_EffLoad_(percent),RsLoad_(ohm-cm2),Rs_Modulation_(ohm-cm2),Measured_Temperature_(C),Total_Test_Time_(s),pJmp_(A/cm2),pVmp_(V/cell),pPmp_(W/cm2),pFF_(percent),pEfficiency_(percent),n_at_1_sun,Jo1_(A/cm2),Jo2_(A/cm2),Jo_at_Vmp_(fA/cm2),Jo_at_Voc_(fA/cm2),Lifetime_at_Vmp_(us),Doping_(cm-3),Measured_Resistivity_(Ohm-cm),Measured_Thickness_(cm),Max_Intensity_(suns),Intensity_@_flash_cutoff_(suns),V_at_Isc_(V),dV/dt,V_Pad_0_(V),Capacitance_(uF/cm2),Pmp_Error_due_to_Capacitance_(percent),Pm/Pe,Total_IV_Curve_Loss_(percent),BulkSRH_AND_Jo_Power_Loss_(percent),Rs_Power_Loss_(percent),Rsh_Power_Loss_(percent),Richter_Limit_Efficiency_(percent),Delta_Power_per_(fA/cm2)_at_pVmp_(percent),Dark_Break_Interpolated,Calibration,Resistivity_(ohm-cm),Analysis_Resistivity_(ohm-cm),Sample_Type,Thickness_(cm),Cell_Area_(cm2),Total_Area_(cm2),Number_of_Cells_per_String,Number_of_Strings,Temperature_(C),Intensity_(suns),Analysis_Type,Nominal_Load_Voltage_(mV/cell),Rs_Modulation_Target_(ohm-cm2),Reference_Constant_(V/sun),Voltage_Temperature_Coefficient_(mV/C),Temperature_Offset_(C),Power_per_Sun_(W/m2),Conductivity_Modulation_(ohm-cm2/V),Auger_Coefficient,Band_Gap_Narrowing,Fit_Method,Carrier_Density_Center_Point_(cm-3),Percent_Fit,Lower_Bound_(cm-3),Upper_Bound_(cm-3),Rsh_Lifetime_Correction,Rsh_Measurement_Method,SunsVoc_Rsh_Voltage_(V),Do_Dark_Break_Measurement,Temperature_Measurement_Method,Number_of_dRsh_Points,dRsh_Output_Vlimit_(V),Current_Transfer,Voltage_Transfer,Temperature_Transfer,Final_Bin,Bin_Index,Do_Doping_Measurement,Doping_Sample_Time_(us),Doping_Measurement_Length_(us),Measurement_Type,Comments,Measurement_Date-Time_String,Software_Version,Recipe_Filename,Forward_Dark_IV_Interpolated?,Doping_Calibration_Factor_(V/sun),Vmp_Correction_Factor_(percent),Flash_1/e_Decay_Time_(ms),Missed_Flashes,Auger_Method,Photon_Recycling,Photon_Recycling_Equation,module_id,identifier_defect,Measurement_DateTime,square,ring,crack,bright_crack,hotspot,gridline_darkening,near_busbar,shattered,serial_number,datetime
19887.0,F0201-0061,X,1.0,3.393,23.663,1000,9/5,DSLR-CMOS,20220128_110727_SHELL_M55_6320427218_X_1s_3.393A_23.663V.jpg,20220128_110727_SHELL_M55_6320427218,1.7402536,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427218.0,2022-01-28 11:07:27
,,,,,,,,,,20220129_121600_SHELL_M55_6320427222,,,,,20108.0,20220129_121520_6320427222_01,20220129_SHELL_M55,2022-01-29 12:16:00,20220129.0,121520,483.0,0.247326411,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,24316.0,DJC,IVT20220129-SHELL_M55-20220129_121520_6320427222_X_01.txt,IVT20220129-SHELL_M55-20220129_121520_6320427222_X_01.mfr,3.12569,21.557344,2.772343,15.182006,42.089721,62.464745,9.954996,1497.689396,1.51941,0.029797,0.598815,0.026428,0.421722,0.011145,11.145462,4364.10049,4.427392,2.772343,15.182006,62.464745,42.089721,9.954996,1.51941,0.026428,0.421722,0.011145,11.145462,4.427392,6.545654,21.394921,49.337949,0.028068,0.518556,0.014555,81.573027,14.554915,0.956548,1.98e-12,2.48e-08,,,0.0,4140000000000000.0,3.406919,,1.167911,0.541248,2.268963,1686.502777,15.182006,2.530111,,,,,21.719361,0.414293,,,0.0,0.0,3.406919,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,4.974309,0.247326,2.2,-0.6,1000.0,18.350253,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/29/2022 12:16,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0120,,,,,,,,,,,6320427222.0,2022-01-29 12:16:00
,,,,,,,,,,20220129_121700_SHELL_M55_6320427222,,,,,20109.0,20220129_121626_6320427222_02,20220129_SHELL_M55,2022-01-29 12:17:00,20220129.0,121626,483.0,0.247326411,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,24317.0,DJC,IVT20220129-SHELL_M55-20220129_121626_6320427222_X_02.txt,IVT20220129-SHELL_M55-20220129_121626_6320427222_X_02.mfr,3.127261,21.551831,2.776994,15.15411,42.082872,62.439168,9.953376,1495.154106,1.524613,0.029812,0.598662,0.026473,0.420947,0.011144,11.143648,4356.712936,4.442553,2.776994,15.15411,62.439168,42.082872,9.953376,1.524613,0.026473,0.420947,0.011144,11.143648,4.442553,7.036864,21.477092,49.224617,0.028083,0.518623,0.014565,81.607512,14.564662,0.960238,1.97e-12,2.48e-08,,,0.0,4260000000000000.0,3.316298,,1.16776,0.545164,2.492639,1767.043637,15.15411,2.444989,,,,,21.837487,0.41465,,,0.0,0.0,3.316298,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,4.98013,0.247326,2.2,-0.6,1000.0,17.992418,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/29/2022 12:17,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0120,,,,,,,,,,,6320427222.0,2022-01-29 12:17:00
,,,,,,,,,,20220129_121900_SHELL_M55_6320427222,,,,,20110.0,20220129_121740_6320427222_01,20220129_SHELL_M55,2022-01-29 12:19:00,20220129.0,121740,483.0,0.247326411,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,3000.0,3000.0,15000.0,180000.0,24318.0,DJC,IVT20220129-SHELL_M55-20220129_121740_6320427222_X_01.txt,IVT20220129-SHELL_M55-20220129_121740_6320427222_X_01.mfr,3.129871,21.551694,2.775535,15.148226,42.044437,62.330506,9.944285,1484.759994,1.532291,0.029837,0.598658,0.026459,0.420784,0.011133,11.13347,4326.425649,4.464927,2.775535,15.148226,62.330506,42.044437,9.944285,1.532291,0.026459,0.420784,0.011133,11.13347,4.464927,6.938026,21.589324,90.332486,0.028103,0.518712,0.014577,81.611308,14.577406,0.958614,1.96e-12,2.5e-08,,,0.0,4260000000000000.0,3.313146,,1.157232,0.104805,2.524585,1724.928539,15.148226,2.477382,,,,,21.921008,0.417489,,,0.0,0.0,3.313146,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,5.032065,0.247326,2.2,-0.6,1000.0,18.165429,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/29/2022 12:19,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0120,,,,,,,,,,,6320427222.0,2022-01-29 12:19:00
20446.0,F0201-0120,X,3.0,0.025,16.35,1000,9/5,DSLR-CMOS,20220129_122123_SHELL_M55_6320427222_X_3s_0.025A_16.350V.jpg,20220129_122123_SHELL_M55_6320427222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:21:23
20447.0,F0201-0120,X,3.0,0.195,19.243,1000,9/5,DSLR-CMOS,20220129_122146_SHELL_M55_6320427222_X_3s_0.195A_19.243V.jpg,20220129_122146_SHELL_M55_6320427222,14.2132768,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:21:46
20448.0,F0201-0120,X,3.0,0.296,19.828,1000,9/5,DSLR-CMOS,20220129_122210_SHELL_M55_6320427222_X_3s_0.296A_19.828V.jpg,20220129_122210_SHELL_M55_6320427222,24.1263954,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:22:10
20449.0,F0201-0120,X,1.0,1.392,22.526,1000,9/5,DSLR-CMOS,20220129_122233_SHELL_M55_6320427222_X_1s_1.392A_22.526V.jpg,20220129_122233_SHELL_M55_6320427222,4.5708238,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:22:33
20450.0,F0201-0120,X,1.0,2.394,23.945,1000,9/5,DSLR-CMOS,20220129_122250_SHELL_M55_6320427222_X_1s_2.394A_23.945V.jpg,20220129_122250_SHELL_M55_6320427222,2.0707907,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:22:50
20451.0,F0201-0120,X,1.0,3.392,25.119,1000,9/5,DSLR-CMOS,20220129_122308_SHELL_M55_6320427222_X_1s_3.392A_25.119V.jpg,20220129_122308_SHELL_M55_6320427222,1.2801013,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320427222.0,2022-01-29 12:23:08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220202_101634_SHELL_M55_6320427222,2022-02-02 10:16:34,0.9801123083333332,0.0031842390694444,0.0539518560833333,0.0095778664394444,0.0439417558846666,0.0013433899313888,0.0016903083097222,0.0002253877660277,6320427222.0,2022-02-02 10:16:34
,,,,,,,,,,20220129_170300_SHELL_M55_6320427223,,,,,20165.0,20220129_170255_6320427223_01,20220129_SHELL_M55,2022-01-29 17:03:00,20220129.0,170255,483.0,0.247326411,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,24373.0,DJC,IVT20220129-SHELL_M55-20220129_170255_6320427223_X_01.txt,IVT20220129-SHELL_M55-20220129_170255_6320427223_X_01.mfr,3.105433,21.653151,2.811144,16.024806,45.048031,66.993492,10.65469,1487.669229,1.163847,0.029604,0.601476,0.026798,0.445134,0.011929,11.928829,4334.902837,3.391322,2.811144,16.024806,66.993492,45.048031,10.65469,1.163847,0.026798,0.445134,0.011929,11.928829,3.391322,5.890263,21.86936,49.425936,0.027893,0.521,0.014532,81.61449,14.532237,0.972837,1.78e-12,2.27e-08,,,0.0,4390000000000000.0,3.216695,,1.167477,0.541683,2.323186,1492.624569,16.024806,2.149152,,,,,16.955062,0.417687,,,0.0,0.0,3.216695,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,3.853822,0.247326,2.2,-0.6,1000.0,13.225738,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/29/2022 17:03,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0132,,,,,,,,,,,6320427223.0,2022-01-29 17:03:00
,,,,,,,,,,20220129_170500_SHELL_M55_6320427223,,,,,20166.0,20220129_170401_6320427223_02,20220129_SHELL_M55,2022-01-29 17:05:00,20220129.0,170401,483.0,0.247326411,2.2,-0.6,0.0,60.0,440.0,18.0,0.0,1500.0,3000.0,5000.0,180000.0,24374.0,DJC,IVT20220129-SHELL_M55-20220129_170401_6320427223_X_02.txt,IVT20220129-SHELL_M55-20220129_170401_6320427223_X_02.mfr,3.107535,21.649,2.812725,16.019434,45.058264,66.976214,10.657111,1445.528028,1.167175,0.029624,0.601361,0.026813,0.444984,0.011932,11.931539,4212.108059,3.401017,2.812725,16.019434,66.976214,45.058264,10.657111,1.167175,0.026813,0.444984,0.011932,11.931539,3.401017,5.831725,21.946987,49.342256,0.027918,0.521019,0.014546,81.650429,14.54569,0.971164,1.77e-12,2.28e-08,,,0.0,4190000000000000.0,3.366244,,1.163251,0.542826,2.73838,1481.709573,16.019434,2.265167,,,,,17.007964,0.429703,,,0.0,0.0,3.366244,,p-type,0.018,104.9,4228.0,36.0,1.0,25.0,1.0,Generalized,483.0,3.849943,0.247326,2.2,-0.6,1000.0,13.934903,1.66e-30,OFF,Center Point,3000000000000000.0,30.0,2000000000000000.0,4000000000000000.0,OFF,SunsVoc Rsh (Module),0.45,0.0,Thermocouple,2.0,10.0,-0.05,3.0108,0.01,A,0.0,1.0,0.0,0.0,Full IV,,1/29/2022 17:05,,FSEC_Shell-M55.mfi,,,,,,Sinton,,,F0201-0132,,,,,,,,,,,6320427223.0,2022-01-29 17:05:00
